topology,total_paths_avg,total_pairs,inter_isd_paths_avg,inter_isd_pairs,intra_isd_paths_avg,intra_isd_pairs
topo0_it0,0,0,22.0,16,0.0,0
topo0_rac_it1,0,0,42.2,10,0.0,0
topo0_rac_it2,0,0,45.3,10,0.0,0
topo0_rac_it3,0,0,51.0,9,0.0,0
topo0_rac_it4,0,0,51.53846153846154,13,0.0,0
topo0_rac_it5,0,0,41.857142857142854,7,0.0,0
topo0_rnp_it1,0,0,31.526315789473685,19,0.0,0
topo0_rnp_it2,0,0,32.75,16,0.0,0
topo0_rnp_it3,0,0,26.5,14,0.0,0
topo0_rnp_it4,0,0,27.857142857142858,14,0.0,0
topo0_rnp_it5,0,0,31.928571428571427,14,0.0,0
topo1_it0,0,0,11.0,6,12.941176470588236,34
topo1_rac_it1,0,0,41.0,3,39.833333333333336,18
topo1_rac_it2,0,0,41.0,2,46.166666666666664,12
topo1_rac_it3,0,0,40.0,1,50.0,8
topo1_rac_it4,0,0,64.0,1,61.0,2
topo1_rac_it5,0,0,63.0,1,59.5,2
topo1_rnp_it1,0,0,16.0,5,19.0,30
topo1_rnp_it2,0,0,16.0,5,19.8,30
topo1_rnp_it3,0,0,16.0,5,18.833333333333332,24
topo1_rnp_it4,0,0,16.0,5,19.454545454545453,22
topo1_rnp_it5,0,0,40.0,2,25.90909090909091,22
